,Name,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Soil Type,Soil pH,Soil Drainage,Characteristics,Tolerance,Garden Uses,Garden Styles
1249,Pachysandra terminalis (Japanese Spurge),"4
– 8","2, 3, 4, 5, 6,  7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21","Perennials, Shrubs",Pachysandra - Spurges,"Partial Sun, Shade","Spring (Early,Mid,Late)","3""
– 4""
(7cm
– 10cm)","7""
– 8""
(17cm
– 20cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Evergreen,"Clay Soil, Deer, Drought, Rabbit, Dry Soil","Banks and Slopes,Ground Covers,Underplanting Roses and Shrubs","City and Courtyard,Coastal Garden,Informal and Cottage,Prairie and Meadow"
1250,Paeonia 'Abalone Pearl' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1251,Paeonia 'America' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1252,Paeonia 'Athena' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1253,Paeonia 'Bartzella' (Itoh Peony),"4
– 9","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage"
1254,Paeonia 'Blaze' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun,  Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1255,Paeonia 'Buckeye Belle' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1256,Paeonia 'Burma Ruby' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
 – 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1257,Paeonia 'Chocolate Soldier' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1258,Paeonia 'Claire de Lune' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1259,Paeonia 'Cora Louise' (Itoh Peony),"4
– 9","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1260,Paeonia 'Coral Charm' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1261,Paeonia 'Coral n' Gold' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1262,Paeonia 'Coral Sunset' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1263,Paeonia 'Cytherea' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1264,Paeonia 'Early Scout' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1265,Paeonia 'First Arrival' (Itoh Peony),"4
– 9","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage"
1266,Paeonia 'Flame' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1267,Paeonia 'Garden Treasure' (Itoh Peony),"4
– 9","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11,  14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","4'
– 5'
(120cm
– 150cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage"
1268,Paeonia 'Golden Glow' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1269,Paeonia 'Henry Bockstoce' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1,  A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"3'
– 4'
(90cm
– 120cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1270,Paeonia 'Illini Warrior' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1271,Paeonia 'Julia Rose' (Itoh Peony),"4
– 9","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage"
1272,Paeonia 'Kansas' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1273,Paeonia 'Lemon Chiffon' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1274,Paeonia 'Lovely Rose' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1275,Paeonia 'Many Happy Returns' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1276,Paeonia 'Merry Mayshine' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1277,Paeonia 'Paula Fay' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9,  10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1278,Paeonia 'Pink Derby' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1279,Paeonia 'Pink Hawaiian Coral' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1280,Paeonia 'Port Royale' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1281,Paeonia 'Prairie Charm' (Itoh Peony),"4
– 9","1, 2, 3, 4,  5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage"
1282,Paeonia 'Red Charm' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19,  20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1283,Paeonia 'Red Emperor' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1284,Paeonia 'Red Spider' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"1'
– 2'
(30cm
– 60cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1285,Paeonia 'Roselette' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1286,Paeonia 'Rozella' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11,  14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1287,Paeonia 'Salmon Dream' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1288,Paeonia 'Scarlett O'Hara' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1289,Paeonia 'Show Girl' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1290,Paeonia 'Singing in the Rain' (Itoh Peony),"4
– 9","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"3'
– 4'
(90cm
– 120cm)","3'
– 4'
(90cm
– 120cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage"
1291,Paeonia 'Walter Mains' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1292,Paeonia lactiflora 'Barrington Belle' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1293,Paeonia lactiflora 'Bowl of Beauty' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1294,Paeonia lactiflora 'Bowl of Cream' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Fragrant, Plant of Merit, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
1295,Paeonia lactiflora 'Bride's Dream' (Peony),"3
– 8","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, A1, A2, A3","Perennials, Shrubs",Paeonia - Peonies,"Full Sun, Partial Sun",Spring (Late),"2'
– 3'
(60cm
– 90cm)","2'
– 3'
(60cm
– 90cm)",Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Cut Flowers, Showy","Deer, Rabbit",Beds and Borders,"City and Courtyard,Informal and Cottage,Japanese Garden"
